epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.85306,1.52719,2.52886,0.92872,0.94417,0.21534,0.24082,0.14281,1.29191,1.27885,0.85891,0.000225,0.000225,0.000225
2,17.0418,1.30591,0.97518,0.85512,0.5623,0.41349,0.40397,0.23239,1.16484,1.19044,0.84717,0.000457921,0.000457921,0.000457921
3,23.2102,1.25833,0.91676,0.85227,0.53232,0.48406,0.47982,0.2717,1.10425,0.90807,0.83883,0.00068614,0.00068614,0.00068614
4,29.4709,1.22259,0.87816,0.84562,0.71281,0.54815,0.53984,0.31038,1.18246,0.83988,0.84088,0.000909656,0.000909656,0.000909656
5,35.6866,1.20996,0.7846,0.8366,0.77505,0.65174,0.65627,0.38068,1.09171,0.7738,0.83701,0.00112847,0.00112847,0.00112847
6,41.8351,1.20321,0.72248,0.83441,0.6966,0.54425,0.61025,0.30842,1.40175,0.89758,0.86571,0.00118812,0.00118812,0.00118812
7,48.0542,1.26234,0.73444,0.83826,0.77765,0.59146,0.65545,0.36735,1.25486,0.76789,0.8402,0.00117575,0.00117575,0.00117575
8,54.1299,1.30815,0.80184,0.84397,0.66817,0.59781,0.65064,0.38849,1.09031,0.67161,0.83385,0.00116337,0.00116337,0.00116337
9,60.2052,1.23951,0.72506,0.83982,0.61909,0.59956,0.6414,0.392,1.0829,0.68511,0.83921,0.001151,0.001151,0.001151
10,66.3963,1.17533,0.68374,0.83322,0.78169,0.61757,0.6978,0.44399,0.98398,0.62831,0.83169,0.00113863,0.00113863,0.00113863
11,72.7717,1.19718,0.68579,0.83779,0.75067,0.71775,0.73127,0.4198,1.16445,0.66815,0.83667,0.00112625,0.00112625,0.00112625
12,78.9545,1.26991,0.68353,0.84195,0.73935,0.66775,0.70508,0.41292,1.10952,0.62152,0.83071,0.00111388,0.00111388,0.00111388
13,85.1333,1.19263,0.65068,0.83977,0.87366,0.61539,0.7223,0.40634,1.18452,0.61876,0.84273,0.0011015,0.0011015,0.0011015
